,k,mae,rmse,r2,mape
0,3,0.633036178728405,0.8318670032010783,0.20344379247723265,319.33199234552023
1,5,0.5815730785496935,0.7693333136513396,0.3187010684617596,297.8798888131995
2,10,0.5720783393674856,0.7522534585554818,0.34861610492212247,278.4238869420376
3,15,0.5711810415018514,0.7558850377909596,0.3423116814026872,289.7868667967467
4,20,0.5696393514191666,0.7587211763349841,0.33736702854652023,297.1489137546496
5,25,0.5657166565701508,0.7559456147644412,0.34220626229191875,281.3358925145429
