,k,mae,rmse,r2,mape
0,3,0.6008038067325483,0.8658749474033958,0.5616599581295432,327.97624851501405
1,5,0.5907526192990606,0.8618771182933459,0.5656983312549968,354.91079974560535
2,10,0.5729454803222922,0.8574549602351262,0.5701435672625979,404.8460639963193
3,15,0.5805763485263167,0.8840398335198635,0.5430754797863768,360.8772674920235
4,20,0.5857505835881196,0.8931128241006382,0.5336484258557683,342.50112309525076
5,25,0.5873502617139004,0.9005681428640475,0.5258301279764948,350.524786153402
