,k,mae,rmse,r2,mape
0,3,0.12616428862704995,0.18534477259352225,0.9723455665315965,69.37353930178833
1,5,0.13898784020447535,0.1989618049156287,0.9681328293272755,84.23227555761437
2,10,0.1700539299475024,0.2376170873333911,0.9545473280569592,107.2444274564114
3,15,0.19608671791337468,0.26673734724760223,0.9427241243318568,119.41003986385275
4,20,0.22405668124660008,0.29564223492607045,0.9296381846822283,139.88315308163564
5,25,0.24170082931978104,0.31463362303712994,0.9203080700130355,139.2985708176727
