,k,mae,rmse,r2,mape
0,3,0.004550333872487548,0.00797801126594052,0.9982109346625081,0.5210216294181836
1,5,0.005158677753492499,0.008532433373011294,0.9979536367757138,0.5965113475078766
2,10,0.006705143641738189,0.010637004516848842,0.9968196450112349,0.7753481862804207
3,15,0.00830791187177959,0.012540895767498303,0.9955792696262177,0.9602186335397697
4,20,0.009653803707085677,0.013977200037496607,0.9945086734254031,1.1237152197733362
5,25,0.010899836676921848,0.015743780709178697,0.9930328529825503,1.272569013081795
