,k,mae,rmse,r2,mape
0,3,0.3572689564783563,0.5951570434713093,0.7013505093887566,175.6339169864105
1,5,0.3905791885883762,0.6446707647972831,0.6495915466997102,206.92544724766773
2,10,0.46718508881308496,0.7788005868833503,0.4886112577483479,184.41018681697054
3,15,0.5014479352343895,0.8267643805767453,0.4236820606116053,187.2735476002067
4,20,0.5277572834872925,0.8664534879171899,0.36702124821957716,184.45022769361458
5,25,0.538065571740897,0.8833333939462668,0.34211812578100464,177.60913496253897
