,k,mae,rmse,r2,mape
0,3,0.400681981499907,0.5946277021743431,0.6624556320743309,217.48974503606257
1,5,0.4087396570405305,0.5987344881826516,0.6577770426201575,260.1534550870249
2,10,0.42428473091856284,0.6084076858708941,0.6466297583438818,225.82447599914022
3,15,0.43973951559900953,0.621184464676126,0.6316321140752464,237.84401698475813
4,20,0.45139878862881133,0.6311526241340676,0.6197148432402341,241.55814252396448
5,25,0.45844977546137583,0.6365719151065206,0.6131562913831323,239.36208340335358
