,k,mae,rmse,r2,mape
0,3,0.3530325492553642,0.5042734823800354,0.8072557406854397,128.10541410585503
1,5,0.36312585145287407,0.5232116082273962,0.7925067698532223,136.67318979052706
2,10,0.38713777857547954,0.5530374852855483,0.7681760357906471,192.29939660118117
3,15,0.4075604066579229,0.5778146274345389,0.7469383976872424,211.0568702193823
4,20,0.4320121657889165,0.6069037553829091,0.7208170837340642,246.87149816759435
5,25,0.44976536297060804,0.6261720601044285,0.70280837907737,271.57139223096146
