,k,mae,rmse,r2,mape
0,3,0.021317630269483644,0.05429099311584284,0.9982867757377601,2.855535343811091
1,5,0.02561465491449606,0.05485385716570193,0.9982510677477453,3.9169394962067803
2,10,0.03914372358322036,0.07787752343484519,0.9964748069243728,4.746734212696289
3,15,0.04987198793641421,0.10282438396322516,0.9938545898047768,6.086727402417867
4,20,0.05824133979844984,0.11841112126496559,0.9918502622991164,6.682762314351845
5,25,0.06658341498154402,0.13224090500854047,0.9898354005462305,8.565994497516408
