,k,mae,rmse,r2,mape
0,3,0.15134833003815312,0.2667920200489999,0.9559008965696522,54.74890916054756
1,5,0.16075450510202596,0.27501335351858847,0.9531411470813965,60.04148338840214
2,10,0.1790028009685709,0.30533211827869783,0.942239749151164,71.52250761281506
3,15,0.19360401176163164,0.3282597315488802,0.9332395417166914,76.76848795620226
4,20,0.2040314177398657,0.3463606650199848,0.9256739216311964,77.33458531743558
5,25,0.21271022416389626,0.3635093863413184,0.9181317799540856,80.78772071246533
