,k,mae,rmse,r2,mape
0,3,0.012146548850087393,0.05524002648289078,0.9925793899993616,0.7663128457147415
1,5,0.016682956952929717,0.05076070859504625,0.9937340459884445,1.084613599412934
2,10,0.02659424180012014,0.06889472445339025,0.9884573962709798,1.954999975977463
3,15,0.03908041214603531,0.11186423660979068,0.9695691293824451,3.381033676701635
4,20,0.04830960422293667,0.13130945813182773,0.9580700958731336,4.237895813167561
5,25,0.05608610442839236,0.1517226465139786,0.9440200288697735,4.959478353559006
