,k,mae,rmse,r2,mape
0,3,0.2579623833890096,0.6407388709999333,0.7171478880172055,111.85668515989491
1,5,0.26564187498913044,0.6726151900574782,0.6883044338102667,116.3300917525257
2,10,0.2726392452580544,0.710634475712532,0.6520716411213306,115.86944345487183
3,15,0.2823128702696606,0.7544979536181364,0.6077947390092004,105.69864820037196
4,20,0.2866971213951938,0.7672594541376125,0.5944150983518316,100.0791339167971
5,25,0.2953500625509732,0.7933520298472285,0.5663601784422716,99.3320686991479
