,k,mae,rmse,r2,mape
0,3,0.290636060209472,0.46657167514175885,0.8967534918503776,156.8227949484392
1,5,0.27708881535513075,0.4414412835992621,0.9075760501623882,153.77245578810627
2,10,0.2861058145893322,0.4898516450671827,0.8861933146802944,116.37666162628275
3,15,0.30062824820940826,0.5423156695956537,0.860510043499398,110.54227784026374
4,20,0.31132172500420185,0.5725283254441633,0.844535015231506,117.57150931341704
5,25,0.3257440532783469,0.5993504216025235,0.8296271991599994,120.02433956634417
