,k,mae,rmse,r2,mape
0,3,0.9060409241979643,1.1173258399360706,-0.0462287377232089,189.10990574319896
1,5,0.8374303877593394,1.0407354323885936,0.09228891112229132,162.77833755705797
2,10,0.814690280348394,1.009271975132829,0.14634303492523437,147.61191748971268
3,15,0.7983298617581899,0.9906876157787019,0.1774914372203763,140.95790393036387
4,20,0.801952031345672,0.9870374221297972,0.18354134530590793,130.36859468504454
5,25,0.8052062203337942,0.9934502486816531,0.17289774403851754,117.73963433896442
