,k,mae,rmse,r2,mape
0,3,0.17204375071660064,0.33363256950985276,0.9499329460828512,47.15937927419746
1,5,0.17453683364746647,0.3490488126445112,0.9451991257931386,45.569648751429675
2,10,0.19005287784201497,0.4028612771981489,0.9269994374133048,51.387595716583064
3,15,0.20131889051200028,0.4343886537873579,0.9151265018353686,51.5845837699349
4,20,0.20490788478101224,0.42921836104699823,0.9171348844408163,50.46300640620899
5,25,0.20987391574038802,0.4348790862669967,0.9149347462850321,50.214101949252395
