,k,mae,rmse,r2,mape
0,3,0.030371475167324056,0.060417154988355384,0.9915161979113404,19.348114683466942
1,5,0.03366042512362362,0.058970446106493976,0.9919176284062229,20.549444079500592
2,10,0.038594621747692195,0.06440421718023272,0.9903595213112831,19.434790615953773
3,15,0.04527203268149471,0.07436416047052127,0.9871472119461767,21.916203008405862
4,20,0.05000739252830572,0.08250931346012157,0.9841774697670538,23.64819182221035
5,25,0.05351835240390522,0.08899880105249298,0.9815906565803912,23.182732640205618
