,k,mae,rmse,r2,mape
0,3,0.12407525903579004,0.308301570026726,0.9867354725368191,77.85163436744217
1,5,0.14686761849263508,0.3800794920327532,0.9798400623565265,84.68693842166213
2,10,0.19042721087576858,0.47755113326141396,0.9681741456791773,85.77138211738531
3,15,0.22674916011565602,0.5247586946099172,0.9615709545907272,96.21890806906124
4,20,0.2763182017314637,0.6791992729768699,0.9356224069551221,101.96746651368605
5,25,0.33858261476763074,0.8661568015463332,0.895303213815498,116.66496462710778
