,k,mae,rmse,r2,mape
0,3,0.10231921718744626,0.19704633442048586,0.9716439886197288,32.06215838630541
1,5,0.11330784238080648,0.20548724953061645,0.9691625697863402,31.736871377047592
2,10,0.1240093379442743,0.21101496703560368,0.9674811677126606,40.68371602187812
3,15,0.140450503561942,0.26562320698506053,0.9484723361328384,45.785577982345735
4,20,0.14991079292649712,0.264369026541097,0.9489577788071628,48.22855023823258
5,25,0.16255218512497013,0.30323730653989295,0.9328457222919697,51.485196511135825
