,k,mae,rmse,r2,mape
0,3,0.10558794456861403,0.18164542546631113,0.9745460710033541,85.57233734553739
1,5,0.11000942520883233,0.16090710525612453,0.9800264002952928,126.22133578455465
2,10,0.11933158060664742,0.2191824074265047,0.962938987191383,137.8893426507282
3,15,0.1315994831769521,0.26323752461083516,0.94654338010827,174.3686041508603
4,20,0.1423607637544644,0.31853247041683475,0.9217267588089672,197.15582716200606
5,25,0.1564057128470888,0.36327281661039457,0.8981943923431465,208.67031046224577
