,k,mae,rmse,r2,mape
0,3,0.22298230279397366,0.46438972479300855,0.8471771391959101,247.514792026799
1,5,0.22997906407921226,0.45449351659594006,0.8536210908868911,206.20727153366093
2,10,0.24645032173997458,0.45909009856211686,0.8506452724340887,138.3958047574609
3,15,0.26008289874829504,0.4774532676203471,0.8384582209427598,191.26946442281744
4,20,0.2708608930314845,0.4914712883899377,0.8288332421048497,182.3386570961715
5,25,0.27897500936620334,0.5047306162783181,0.8194728940101137,206.81005018850223
