,k,mae,rmse,r2,mape
0,3,0.13521667580423324,0.1877652853946436,0.9647219237636927,55.96753068160493
1,5,0.13704398334277113,0.19247196042753217,0.9629311399488886,62.18695620442336
2,10,0.15839749759127225,0.21642718662501645,0.9531296799531426,80.69648099968877
3,15,0.1833650350132965,0.24989759682448326,0.9375117373236986,96.56179539664541
4,20,0.19797847387800144,0.274823629224968,0.9244242558808442,103.98615751956683
5,25,0.21170234628658563,0.2961523356725478,0.9122383832326691,110.17733229858892
