,k,mae,rmse,r2,mape
0,3,0.8992219632341902,1.125826789612527,-0.02569811014677814,375.68653137093077
1,5,0.8456869261487113,1.059721337098478,0.09121791840991056,332.48615872934903
2,10,0.8181870796064328,1.0103031266838336,0.17400048557714398,262.28992421593694
3,15,0.815295918143309,1.006168608032643,0.18074721809110295,247.40200906314186
4,20,0.8161227046481421,1.0028559109316544,0.1861329330274839,283.8707744474402
5,25,0.8212780346277323,1.0062812414136548,0.18056378884322544,289.8668349124625
