,k,mae,rmse,r2,mape
0,3,0.19802436908827897,0.2932235177293191,0.914527619943694,42.94091816617139
1,5,0.22288642839347925,0.3059489344034691,0.9069479194059649,51.23658189991883
2,10,0.27141362868071905,0.3652416998158042,0.8673861422478907,80.6879060323281
3,15,0.31192320763725695,0.40863421342684797,0.8340039897929227,88.67828828784592
4,20,0.34755956025800033,0.44994186766966077,0.7987476261537235,87.93546307027552
5,25,0.38055342504106426,0.4898160125652823,0.7614968301832831,88.06770439955498
